RU_CODE,RU_NAME,Male Adults,Male Seniors,Female Adults,Female Seniors
RU_45,Central Athens,332638.413161271,90771.5213908648,357163.854987179,140292.471989396
RU_47,West Athens,165753.430517769,39982.5601609425,168971.094534621,54197.3612894419
RU_51,Piraeus,139275.551039498,36281.2994783262,144531.050736269,51761.0243678293
